device_type,brand,model,symptom_text,diagnosis,components,repair_time,success_rate,technician_level
laptop,HP,Pavilion,overheating fan loud hot,Cooling system failure,"Fan;Heat sink;Thermal paste",60,88.0,Intermediate
laptop,HP,Pavilion,wifi not connecting no internet,Network failure,"Wifi card;Network drivers",30,92.0,Beginner
laptop,HP,Pavilion,keyboard not working some keys,Keyboard failure,"Keyboard;Ribbon cable",45,90.0,Intermediate
laptop,HP,Pavilion,no sound speaker audio issue,Audio failure,"Speakers;Audio jack",30,85.0,Beginner
laptop,HP,Pavilion,usb ports not working,USB failure,"USB ports;Motherboard",45,87.0,Intermediate
laptop,Lenovo,ThinkPad,won't turn on no power black screen,Power supply failure,"Power adapter;Battery;Motherboard",60,90.0,Intermediate
laptop,Lenovo,ThinkPad,dead battery not charging,Battery failure,"Battery;Charging port",45,95.0,Beginner
laptop,Lenovo,ThinkPad,screen cracked broken display,Screen damage,"Display;Touch digitizer",75,95.0,Advanced
laptop,Lenovo,ThinkPad,slow performance lag freezing,Software issue,"RAM;SSD;Operating system",90,85.0,Intermediate
laptop,Lenovo,ThinkPad,overheating fan loud hot,Cooling system failure,"Fan;Heat sink;Thermal paste",60,88.0,Intermediate
laptop,Lenovo,ThinkPad,wifi not connecting no internet,Network failure,"Wifi card;Network drivers",30,92.0,Beginner
laptop,Lenovo,ThinkPad,keyboard not working some keys,Keyboard failure,"Keyboard;Ribbon cable",45,90.0,Intermediate
laptop,Lenovo,ThinkPad,no sound speaker audio issue,Audio failure,"Speakers;Audio jack",30,85.0,Beginner
laptop,Lenovo,ThinkPad,usb ports not working,USB failure,"USB ports;Motherboard",45,87.0,Intermediate
laptop,Apple,MacBook Air,won't turn on no power black screen,Power supply failure,"Power adapter;Battery;Logic board",75,85.0,Advanced
laptop,Apple,MacBook Air,dead battery not charging,Battery failure,"Battery;Charging port",60,95.0,Intermediate
laptop,Apple,MacBook Air,screen cracked broken display,Screen damage,"Display;Assembly",90,90.0,Expert
laptop,Apple,MacBook Air,slow performance lag freezing,Software issue,"SSD;RAM;macOS",60,80.0,Intermediate
laptop,Apple,MacBook Air,overheating fan loud hot,Cooling system failure,"Fan;Heat sink;Thermal paste",75,85.0,Advanced
laptop,Apple,MacBook Air,wifi not connecting no internet,Network failure,"Wifi card;AirPort card",45,88.0,Intermediate
laptop,Apple,MacBook Air,keyboard not working some keys,Keyboard failure,"Keyboard;Butterfly mechanism",90,75.0,Expert
laptop,Apple,MacBook Air,no sound speaker audio issue,Audio failure,"Speakers;Audio board",45,82.0,Intermediate
laptop,Apple,MacBook Air,usb ports not working,USB failure,"USB ports;Logic board",60,85.0,Advanced
laptop,Apple,MacBook Pro,won't turn on no power black screen,Power supply failure,"Power adapter;Battery;Logic board",75,85.0,Advanced
laptop,Apple,MacBook Pro,dead battery not charging,Battery failure,"Battery;Charging port",60,95.0,Intermediate
laptop,Apple,MacBook Pro,screen cracked broken display,Screen damage,"Display;Assembly",90,90.0,Expert
laptop,Apple,MacBook Pro,slow performance lag freezing,Software issue,"SSD;RAM;macOS",60,80.0,Intermediate
laptop,Apple,MacBook Pro,overheating fan loud hot,Cooling system failure,"Fan;Heat sink;Thermal paste",75,85.0,Advanced
laptop,Apple,MacBook Pro,wifi not connecting no internet,Network failure,"Wifi card;AirPort card",45,88.0,Intermediate
laptop,Apple,MacBook Pro,keyboard not working some keys,Keyboard failure,"Keyboard;Butterfly mechanism",90,75.0,Expert
laptop,Apple,MacBook Pro,no sound speaker audio issue,Audio failure,"Speakers;Audio board",45,82.0,Intermediate
laptop,Apple,MacBook Pro,usb ports not working,USB failure,"USB ports;Logic board",60,85.0,Advanced
smartphone,Apple,iPhone 11,won't turn on no power black screen,Power supply failure,"Battery;Charging port;Logic board",60,85.0,Advanced
smartphone,Apple,iPhone 11,dead battery not charging,Battery failure,"Battery;Charging port",45,95.0,Intermediate
smartphone,Apple,iPhone 11,screen cracked broken display,Screen damage,"Display;Touch screen",90,90.0,Expert
smartphone,Apple,iPhone 11,slow performance lag freezing,Software issue,"Processor;RAM;iOS",60,80.0,Intermediate
smartphone,Apple,iPhone 11,overheating fan loud hot,Cooling system failure,"Battery;Processor;Thermal sensor",75,85.0,Advanced
smartphone,Apple,iPhone 11,wifi not connecting no internet,Network failure,"Wifi chip;Antenna",30,88.0,Intermediate
smartphone,Apple,iPhone 11,touch screen not working,Touch failure,"Digitizer;Software",45,82.0,Intermediate
smartphone,Apple,iPhone 11,no sound speaker audio issue,Audio failure,"Speakers;Microphone",30,85.0,Beginner
smartphone,Apple,iPhone 11,camera not working,Camera failure,"Camera module;Lens;Software",45,87.0,Intermediate
smartphone,Apple,iPhone 12,won't turn on no power black screen,Power supply failure,"Battery;Charging port;Logic board",60,85.0,Advanced
smartphone,Apple,iPhone 12,dead battery not charging,Battery failure,"Battery;Charging port",45,95.0,Intermediate
smartphone,Apple,iPhone 12,screen cracked broken display,Screen damage,"Display;Touch screen",90,90.0,Expert
smartphone,Apple,iPhone 12,slow performance lag freezing,Software issue,"Processor;RAM;iOS",60,80.0,Intermediate
smartphone,Apple,iPhone 12,overheating fan loud hot,Cooling system failure,"Battery;Processor;Thermal sensor",75,85.0,Advanced
smartphone,Apple,iPhone 12,wifi not connecting no internet,Network failure,"Wifi chip;Antenna",30,88.0,Intermediate
smartphone,Apple,iPhone 12,touch screen not working,Touch failure,"Digitizer;Software",45,82.0,Intermediate
smartphone,Apple,iPhone 12,no sound speaker audio issue,Audio failure,"Speakers;Microphone",30,85.0,Beginner
smartphone,Apple,iPhone 12,camera not working,Camera failure,"Camera module;Lens;Software",45,87.0,Intermediate
smartphone,Apple,iPhone 14,won't turn on no power black screen,Power supply failure,"Battery;Charging port;Logic board",60,85.0,Advanced
smartphone,Apple,iPhone 14,dead battery not charging,Battery failure,"Battery;Charging port",45,95.0,Intermediate
smartphone,Apple,iPhone 14,screen cracked broken display,Screen damage,"Display;Touch screen",90,90.0,Expert
smartphone,Apple,iPhone 14,slow performance lag freezing,Software issue,"Processor;RAM;iOS",60,80.0,Intermediate
smartphone,Apple,iPhone 14,overheating fan loud hot,Cooling system failure,"Battery;Processor;Thermal sensor",75,85.0,Advanced
smartphone,Apple,iPhone 14,wifi not connecting no internet,Network failure,"Wifi chip;Antenna",30,88.0,Intermediate
smartphone,Apple,iPhone 14,touch screen not working,Touch failure,"Digitizer;Software",45,82.0,Intermediate
smartphone,Apple,iPhone 14,no sound speaker audio issue,Audio failure,"Speakers;Microphone",30,85.0,Beginner
smartphone,Apple,iPhone 14,camera not working,Camera failure,"Camera module;Lens;Software",45,87.0,Intermediate
smartphone,Samsung,Galaxy S21,won't turn on no power black screen,Power supply failure,"Battery;Charging port;Logic board",60,85.0,Advanced
smartphone,Samsung,Galaxy S21,dead battery not charging,Battery failure,"Battery;Charging port",45,95.0,Intermediate
smartphone,Samsung,Galaxy S21,screen cracked broken display,Screen damage,"Display;Touch screen",90,90.0,Expert
smartphone,Samsung,Galaxy S21,slow performance lag freezing,Software issue,"Processor;RAM;Android",60,80.0,Intermediate
smartphone,Samsung,Galaxy S21,overheating fan loud hot,Cooling system failure,"Battery;Processor;Thermal sensor",75,85.0,Advanced
smartphone,Samsung,Galaxy S21,wifi not connecting no internet,Network failure,"Wifi chip;Antenna",30,88.0,Intermediate
smartphone,Samsung,Galaxy S21,touch screen not working,Touch failure,"Digitizer;Software",45,82.0,Intermediate
smartphone,Samsung,Galaxy S21,no sound speaker audio issue,Audio failure,"Speakers;Microphone",30,85.0,Beginner
smartphone,Samsung,Galaxy S21,camera not working,Camera failure,"Camera module;Lens;Software",45,87.0,Intermediate
smartphone,Samsung,Galaxy S22,won't turn on no power black screen,Power supply failure,"Battery;Charging port;Logic board",60,85.0,Advanced
smartphone,Samsung,Galaxy S22,dead battery not charging,Battery failure,"Battery;Charging port",45,95.0,Intermediate
smartphone,Samsung,Galaxy S22,screen cracked broken display,Screen damage,"Display;Touch screen",90,90.0,Expert
smartphone,Samsung,Galaxy S22,slow performance lag freezing,Software issue,"Processor;RAM;Android",60,80.0,Intermediate
smartphone,Samsung,Galaxy S22,overheating fan loud hot,Cooling system failure,"Battery;Processor;Thermal sensor",75,85.0,Advanced
smartphone,Samsung,Galaxy S22,wifi not connecting no internet,Network failure,"Wifi chip;Antenna",30,88.0,Intermediate
smartphone,Samsung,Galaxy S22,touch screen not working,Touch failure,"Digitizer;Software",45,82.0,Intermediate
smartphone,Samsung,Galaxy S22,no sound speaker audio issue,Audio failure,"Speakers;Microphone",30,85.0,Beginner
smartphone,Samsung,Galaxy S22,camera not working,Camera failure,"Camera module;Lens;Software",45,87.0,Intermediate
tablet,Apple,iPad Air,won't turn on no power black screen,Power supply failure,"Battery;Charging port;Logic board",60,85.0,Advanced
tablet,Apple,iPad Air,dead battery not charging,Battery failure,"Battery;Charging port",45,95.0,Intermediate
tablet,Apple,iPad Air,screen cracked broken display,Screen damage,"Display;Touch screen",90,90.0,Expert
tablet,Apple,iPad Air,slow performance lag freezing,Software issue,"Processor;RAM;iPadOS",60,80.0,Intermediate
tablet,Apple,iPad Air,overheating fan loud hot,Cooling system failure,"Battery;Processor;Thermal sensor",75,85.0,Advanced
tablet,Apple,iPad Air,wifi not connecting no internet,Network failure,"Wifi chip;Antenna",30,88.0,Intermediate
tablet,Apple,iPad Air,touch screen not working,Touch failure,"Digitizer;Software",45,82.0,Intermediate
tablet,Apple,iPad Air,no sound speaker audio issue,Audio failure,"Speakers;Microphone",30,85.0,Beginner
tablet,Apple,iPad Air,camera not working,Camera failure,"Camera module;Lens;Software",45,87.0,Intermediate
tablet,Samsung,Galaxy Tab S8,won't turn on no power black screen,Power supply failure,"Battery;Charging port;Logic board",60,85.0,Advanced
tablet,Samsung,Galaxy Tab S8,dead battery not charging,Battery failure,"Battery;Charging port",45,95.0,Intermediate
tablet,Samsung,Galaxy Tab S8,screen cracked broken display,Screen damage,"Display;Touch screen",90,90.0,Expert
tablet,Samsung,Galaxy Tab S8,slow performance lag freezing,Software issue,"Processor;RAM;Android",60,80.0,Intermediate
tablet,Samsung,Galaxy Tab S8,overheating fan loud hot,Cooling system failure,"Battery;Processor;Thermal sensor",75,85.0,Advanced
tablet,Samsung,Galaxy Tab S8,wifi not connecting no internet,Network failure,"Wifi chip;Antenna",30,88.0,Intermediate
tablet,Samsung,Galaxy Tab S8,touch screen not working,Touch failure,"Digitizer;Software",45,82.0,Intermediate
tablet,Samsung,Galaxy Tab S8,no sound speaker audio issue,Audio failure,"Speakers;Microphone",30,85.0,Beginner
tablet,Samsung,Galaxy Tab S8,camera not working,Camera failure,"Camera module;Lens;Software",45,87.0,Intermediate
tablet,Samsung,Galaxy Tab A9,won't turn on no power black screen,Power supply failure,"Battery;Charging port;Logic board",60,85.0,Advanced
tablet,Samsung,Galaxy Tab A9,dead battery not charging,Battery failure,"Battery;Charging port",45,95.0,Intermediate
tablet,Samsung,Galaxy Tab A9,screen cracked broken display,Screen damage,"Display;Touch screen",90,90.0,Expert
tablet,Samsung,Galaxy Tab A9,slow performance lag freezing,Software issue,"Processor;RAM;Android",60,80.0,Intermediate
tablet,Samsung,Galaxy Tab A9,overheating fan loud hot,Cooling system failure,"Battery;Processor;Thermal sensor",75,85.0,Advanced
tablet,Samsung,Galaxy Tab A9,wifi not connecting no internet,Network failure,"Wifi chip;Antenna",30,88.0,Intermediate
tablet,Samsung,Galaxy Tab A9,touch screen not working,Touch failure,"Digitizer;Software",45,82.0,Intermediate
tablet,Samsung,Galaxy Tab A9,no sound speaker audio issue,Audio failure,"Speakers;Microphone",30,85.0,Beginner
tablet,Samsung,Galaxy Tab A9,camera not working,Camera failure,"Camera module;Lens;Software",45,87.0,Intermediate
laptop,HP,Universal,dead no lights no fan no sound completely dead no power,Power supply failure,Power adapter;Battery;DC jack;Motherboard,60,75.0,Intermediate
laptop,HP,Universal,lights turn on fan spins screen stays black no display,Display failure,RAM;LCD cable;LCD panel;Motherboard,60,80.0,Intermediate
laptop,HP,Universal,powers on shuts off after 2 to 5 seconds immediately off,Motherboard failure,Motherboard;RAM;CPU;Voltage regulator,90,60.0,Advanced
laptop,HP,Universal,powers on no display caps lock light toggles on off,GPU failure,GPU;LCD panel;Backlight;Motherboard,90,65.0,Advanced
laptop,HP,Universal,CMOS checksum error on boot date time reset,CMOS battery failure,CMOS battery;BIOS,15,95.0,Beginner
laptop,HP,Universal,no power at all completely dead charger LED not on,Power supply failure,Power adapter;Charger;DC jack,30,85.0,Beginner
laptop,HP,Universal,laptop starts then immediately restarts loops on boot,Motherboard failure,Motherboard;RAM;Power IC,60,65.0,Advanced
laptop,HP,Universal,1 long 2 short beeps blinks BIOS boot block corruption,BIOS corruption,BIOS chip;USB recovery drive,30,70.0,Advanced
laptop,HP,Universal,2 long 2 short beeps blinks BIOS main area corruption,BIOS corruption,BIOS chip;Motherboard,60,60.0,Advanced
laptop,HP,Universal,3 long 2 short beeps blinks RAM memory failure,RAM failure,RAM;RAM slot,30,90.0,Beginner
laptop,HP,Universal,3 long 3 short beeps blinks GPU graphics failure,GPU failure,Motherboard;GPU chip,120,50.0,Advanced
laptop,HP,Universal,3 long 4 short beeps blinks power supply failure,Power supply failure,Charger;DC jack;Power IC,45,75.0,Intermediate
laptop,HP,Universal,3 long 5 short beeps blinks CPU failure processor,CPU failure,CPU;Motherboard,120,40.0,Advanced
laptop,HP,Universal,4 long 2 short beeps blinks CPU thermal shutdown overheating,Cooling system failure,Fan;Heat sink;Thermal paste,45,90.0,Intermediate
laptop,HP,Universal,4 long 3 short beeps blinks temperature sensor blocked vents,Cooling system failure,Fan;Vents;Battery;Thermal sensor,30,88.0,Intermediate
laptop,HP,Universal,5 short beeps RTC real time clock failure,CMOS battery failure,CMOS battery;RTC circuit;Motherboard,30,80.0,Intermediate
laptop,HP,Universal,beeps 3 times then stops no display,RAM failure,RAM;RAM slot,30,90.0,Beginner
laptop,HP,Universal,continuous short beeps power delivery failure,Power supply failure,Motherboard;Power rail,60,55.0,Advanced
laptop,HP,Universal,boot device not found 3F0 error hard drive not detected,Storage failure,SSD;HDD;SATA cable;BIOS boot order,60,85.0,Intermediate
laptop,HP,Universal,operating system not found corrupt bootloader,Boot failure,OS;Bootloader;HDD;SSD,60,85.0,Intermediate
laptop,HP,Universal,no bootable device found empty failed drive,Storage failure,HDD;SSD;SATA cable;BIOS settings,60,85.0,Intermediate
laptop,HP,Universal,blue screen CRITICAL_PROCESS_DIED crash,Software issue,OS;SSD;Windows files;Drivers,90,80.0,Intermediate
laptop,HP,Universal,blue screen WHEA_UNCORRECTABLE_ERROR crash,CPU failure,CPU;Drivers;Cooling;Motherboard,90,70.0,Advanced
laptop,HP,Universal,blue screen IRQL_NOT_LESS_OR_EQUAL crash,RAM failure,RAM;Drivers;RAM slot,60,80.0,Intermediate
laptop,HP,Universal,blue screen PAGE_FAULT_IN_NONPAGED_AREA,RAM failure,RAM;Page file;Drivers,60,80.0,Intermediate
laptop,HP,Universal,automatic repair loop boot loop Windows,Software issue,OS;Registry;HDD;Windows files,90,75.0,Intermediate
laptop,HP,Universal,INACCESSIBLE_BOOT_DEVICE blue screen,Storage failure,Storage driver;SSD;BitLocker;SATA mode,60,78.0,Intermediate
laptop,HP,Universal,freezes at Windows logo black screen during startup,Software issue,Drivers;GPU;HDD;Safe mode,60,80.0,Intermediate
laptop,HP,Universal,screen flickering unstable display,Display failure,LCD cable;LCD panel;GPU driver,45,85.0,Intermediate
laptop,HP,Universal,vertical lines on screen horizontal lines display,Display failure,LCD panel;LCD cable;GPU,60,85.0,Intermediate
laptop,HP,Universal,screen has white pink green tint color issue,Display failure,LCD panel;Color profile;Inverter,45,80.0,Intermediate
laptop,HP,Universal,screen dim but not black backlight faint image flashlight,Backlight failure,LCD panel;Backlight;Motherboard fuse,60,80.0,Intermediate
laptop,HP,Universal,screen shows random artifacts glitches pixel distortion,GPU failure,GPU;VRAM;GPU driver;Thermal paste,90,65.0,Advanced
laptop,HP,Universal,external monitor works internal screen completely black,Display failure,LCD panel;LCD cable;Lid sensor,60,88.0,Intermediate
laptop,HP,Universal,screen goes black when moving lid opening closing,LCD cable failure,LCD cable;Hinge,45,90.0,Intermediate
laptop,HP,Universal,screen cracked broken physically damaged display,Screen damage,LCD panel,60,95.0,Intermediate
laptop,HP,Universal,dead pixels small black white dots on screen,Screen damage,LCD panel,30,90.0,Intermediate
laptop,HP,Universal,both internal and external screen black caps lock responds,GPU failure,GPU;Motherboard chipset,120,45.0,Advanced
laptop,HP,Universal,random restarts no blue screen no warning,RAM failure,RAM;Cooling system,30,85.0,Beginner
laptop,HP,Universal,frequent blue screens different error codes each time,RAM failure,RAM;RAM slot,30,88.0,Intermediate
laptop,HP,Universal,Windows shows less RAM than installed memory missing,RAM failure,RAM;RAM slot;32-bit OS,15,90.0,Beginner
laptop,HP,Universal,laptop boots but freezes under load heavy use,RAM failure,RAM;Cooling;RAM slot,45,82.0,Intermediate
laptop,HP,Universal,BIOS detects RAM Windows crashes on startup,RAM failure,RAM;Chipset drivers,60,78.0,Intermediate
laptop,HP,Universal,clicking grinding noise from hard drive,Storage failure,HDD;SATA cable,60,85.0,Intermediate
laptop,HP,Universal,very slow performance 100% disk usage all the time,Storage failure,HDD;SSD;File system,90,85.0,Intermediate
laptop,HP,Universal,files randomly corrupt or disappear bad sectors,Storage failure,HDD;SSD;File system,120,75.0,Intermediate
laptop,HP,Universal,laptop freezes for seconds at a time intermittent hang,Storage failure,HDD;SSD;SATA cable,60,80.0,Intermediate
laptop,HP,Universal,BIOS does not detect any drive storage not found,Storage failure,HDD;SSD;SATA port;SATA cable,60,80.0,Intermediate
laptop,HP,Universal,SMART hard disk error warning on boot,Storage failure,HDD;SSD,30,85.0,Beginner
laptop,HP,Universal,NVMe SSD not detected M.2 not found,Storage failure,NVMe SSD;BIOS settings;M.2 slot,45,82.0,Intermediate
laptop,HP,Universal,plugged in not charging 0% stays battery not charging,Battery failure,Battery;Charger;EC controller,30,85.0,Beginner
laptop,HP,Universal,battery drains very fast 30 minutes or less,Battery failure,Battery,15,95.0,Beginner
laptop,HP,Universal,laptop only works when plugged in battery completely dead,Battery failure,Battery;Charging circuit,30,90.0,Beginner
laptop,HP,Universal,laptop shuts down at 20 30 percent battery level,Battery failure,Battery;Battery calibration,15,90.0,Beginner
laptop,HP,Universal,swollen battery puffed up trackpad bulging lifting,Battery failure,Battery,15,98.0,Beginner
laptop,HP,Universal,charging LED blinking orange white flashing,Battery failure,Battery;Charger;EC controller,30,80.0,Beginner
laptop,HP,Universal,laptop very hot while charging overcharging,Battery failure,Battery;Motherboard charging circuit,45,75.0,Intermediate
laptop,HP,Universal,battery percentage jumps from 60 to 10 instantly drops,Battery failure,Battery;Dead cells,15,92.0,Beginner
laptop,HP,Universal,fan always running at maximum speed loud noise,Cooling system failure,Fan;Vents;Thermal paste;Malware,45,90.0,Beginner
laptop,HP,Universal,fan makes grinding rattling noise bearing worn,Cooling system failure,Fan,30,90.0,Beginner
laptop,HP,Universal,fan never spins not working dead fan,Cooling system failure,Fan;Fan connector;BIOS,30,88.0,Intermediate
laptop,HP,Universal,laptop suddenly shuts down under load gaming thermal trip,Cooling system failure,Fan;Heat sink;Thermal paste,45,90.0,Intermediate
laptop,HP,Universal,laptop is hot even when idle high idle temperature,Cooling system failure,Thermal paste;Fan;Malware;Battery,45,85.0,Intermediate
laptop,HP,Universal,laptop throttles slows down during gaming performance drop,Thermal throttling,CPU;Thermal paste;Fan;Cooling pad,45,85.0,Intermediate
laptop,HP,Universal,hot air from vents but fan not spinning overheating,Cooling system failure,Fan;Fan connector,30,88.0,Intermediate
laptop,HP,Universal,specific keys not working keyboard partial failure,Keyboard failure,Keyboard;Ribbon cable;Top cover,45,90.0,Intermediate
laptop,HP,Universal,keyboard types random letters wrong characters,Keyboard failure,Keyboard;Modifier keys;Liquid damage,30,85.0,Beginner
laptop,HP,Universal,keyboard backlight not lighting up not working,Keyboard failure,Keyboard;Keyboard driver;Fn key,15,90.0,Beginner
laptop,HP,Universal,trackpad not moving cursor not responding,Trackpad failure,Trackpad;Trackpad cable;Driver,30,88.0,Beginner
laptop,HP,Universal,trackpad buttons stuck not clicking physical damage,Trackpad failure,Trackpad;Battery;Palmrest,30,85.0,Beginner
laptop,HP,Universal,USB port not working no device detected,USB failure,USB port;Chipset driver;Motherboard,30,85.0,Beginner
laptop,HP,Universal,USB device disconnects randomly keeps dropping connection,USB failure,USB port;Power settings;USB selective suspend,15,90.0,Beginner
laptop,HP,Universal,no sound from speakers headphones work fine,Audio failure,Speakers;Audio cable;Audio driver,30,85.0,Beginner
laptop,HP,Universal,no sound from headphones speakers work fine audio jack,Audio failure,Headphone jack;Audio sensor;Audio driver,15,90.0,Beginner
laptop,HP,Universal,crackling distorted sound audio quality bad,Audio failure,Speakers;Realtek driver;Audio enhancements,30,85.0,Beginner
laptop,HP,Universal,microphone not working no mic input privacy,Audio failure,Microphone;Privacy settings;Audio driver,15,90.0,Beginner
laptop,HP,Universal,no audio output device installed error,Audio failure,Audio driver;Motherboard audio chip,30,75.0,Intermediate
laptop,HP,Universal,wifi adapter not detected no wireless networks,Network failure,Wifi card;Driver;Airplane mode,30,85.0,Intermediate
laptop,HP,Universal,wifi connects but no internet access,Network failure,DNS;IP configuration;Router,15,90.0,Beginner
laptop,HP,Universal,wifi keeps disconnecting drops connection frequently,Network failure,Wifi driver;Power management;Wifi card,15,88.0,Beginner
laptop,HP,Universal,bluetooth not finding devices pairing fails,Network failure,Bluetooth driver;Bluetooth toggle;Antenna,15,88.0,Beginner
laptop,HP,Universal,very slow wifi poor wireless speed,Network failure,Wifi driver;Frequency band;Wifi card,15,85.0,Beginner
laptop,HP,Universal,BIOS update stuck at 0 percent or 100 percent,BIOS corruption,BIOS chip;USB recovery,60,70.0,Advanced
laptop,HP,Universal,laptop won't boot after BIOS update bricked,BIOS corruption,BIOS chip;USB Win+B recovery,60,75.0,Advanced
laptop,HP,Universal,secure boot prevents booting from USB drive,BIOS configuration,BIOS settings;Secure boot,15,95.0,Beginner
laptop,HP,Universal,legacy boot option missing CSM not available,BIOS configuration,BIOS settings;CSM;Legacy support,15,95.0,Beginner
laptop,HP,Universal,TPM not detected BitLocker recovery key required,BIOS configuration,TPM;BIOS settings;Microsoft account,30,88.0,Intermediate
laptop,HP,Universal,liquid spilled on laptop water damage,Liquid damage,Motherboard;Keyboard;Battery;Isopropyl alcohol,120,60.0,Advanced
laptop,HP,Universal,broken hinge cracked hinge loose lid,Physical damage,Hinge assembly;LCD cable;Lid,60,85.0,Intermediate
laptop,HP,Universal,broken charging port DC jack loose wobbling,DC jack failure,DC jack;Motherboard,90,80.0,Advanced
laptop,HP,Universal,laptop fell dropped won't turn on,Motherboard failure,Motherboard;RAM;SSD,120,50.0,Advanced
laptop,HP,Universal,cracked palmrest broken bottom case physical,Physical damage,Bottom cover;Palmrest;Screws,60,90.0,Intermediate
laptop,Dell,Universal,power button 1 blink LED motherboard EC ROM failure,Motherboard failure,Motherboard;System board,120,45.0,Advanced
laptop,Dell,Universal,power button 2 blinks LED RAM memory not detected,RAM failure,RAM;RAM slot,30,90.0,Beginner
laptop,Dell,Universal,power button 3 blinks LED motherboard chipset CPU failure,Motherboard failure,Motherboard;Chipset,120,45.0,Advanced
