device_type,brand,model,symptom_text,diagnosis,components,repair_time,success_rate,technician_level
tablet,Apple,iPad Pro,"screen flickering touch unresponsive ghost touches",Display controller failure,"Display controller;Digitizer;LCD connector",90,85,Expert
tablet,Samsung,Galaxy Tab S8,"battery wont charge past 15% gets very hot",Charging system failure,"Charging port;Battery management IC;Battery",55,89,Intermediate
tablet,Microsoft,Surface Pro 9,"type cover not detected keyboard backlight off",Connection failure,"Surface connector;Flex cable;Controller",40,92,Intermediate
smartwatch,Apple,Watch Series 8,"heart rate sensor not working erratic readings",Sensor failure,"Heart rate sensor;Optical sensor;Connector",50,78,Expert
smartwatch,Samsung,Galaxy Watch 5,"battery drains within hours wont hold charge",Battery degradation,"Battery;Power management IC;Charging coil",45,85,Intermediate
smartwatch,Fitbit,Versa 4,"screen cracked display lines touch not working",Screen assembly failure,"Screen assembly;Touch digitizer;Frame",60,88,Senior
smarttv,Samsung,QN90B,"no sound distorted audio HDMI ports not working",Audio board failure,"Audio board;HDMI ports;Speaker drivers",75,82,Expert
smarttv,LG,OLED C1,"screen burn-in images retained permanent",Panel degradation,"OLED panel;T-CON board;Power supply",180,65,Expert
smarttv,Sony,X95K,"wifi disconnects frequently apps buffer slowly",Network module failure,"WiFi module;Ethernet port;Antenna",60,87,Intermediate
headphones,Sony,WH-1000XM4,"left earbud no sound right works fine",Driver failure,"Left driver;Amplifier;Wiring",35,90,Intermediate
headphones,Apple,AirPods Pro,"case wont charge earbuds disconnect frequently",Charging case failure,"Charging case;Battery contacts;Pairing module",40,85,Intermediate
headphones,Bose,QC35,"noise cancelling not working hissing sound",ANC module failure,"ANC processor;Microphones;Audio DSP",55,80,Senior
iot,Amazon,Echo Dot,"device unresponsive alexa not responding blue light ring",System crash,"System processor;Memory module;Power supply",30,83,Junior
iot,Google,Nest Hub,"screen frozen touch not working apps crash",Display controller failure,"Display controller;Touch panel;System board",70,86,Intermediate
iot,Apple,HomePod,"no sound distorted audio siri not responding",Audio processor failure,"Audio processor;Speaker array;Microphone array",80,78,Expert
laptop,Dell,XPS 13,"fan constantly running loud even when idle",Thermal sensor failure,"Thermal sensor;Fan controller;BIOS firmware",55,88,Intermediate
laptop,ThinkPad,X1 Carbon,"trackpoint not working cursor drifts",Trackpoint failure,"Trackpoint stick;Pressure sensor;Controller",25,94,Junior
smartphone,Apple,iPhone 14,"face id not working camera black front",Face ID sensor failure,"Face ID module;IR camera;Dot projector",95,75,Expert
smartphone,Samsung,S23 Ultra,"S pen not detected no air commands",S pen digitizer failure,"S pen digitizer;Wacom controller;Bluetooth module",65,82,Intermediate
tablet,Apple,iPad Air,"apps crashing frequently memory full error",Memory management failure,"RAM;Memory controller;iOS firmware",45,87,Intermediate
smarttv,TCL,R646,"remote not responding voice commands fail",Remote receiver failure,"IR receiver;Voice microphone;Bluetooth module",35,91,Junior
headphones,Jabra,Elite 85t,"earbuds wont pair bluetooth not found",Bluetooth module failure,"Bluetooth antenna;Pairing chip;Firmware",30,89,Intermediate
laptop,HP,Spectre x360,"hinge loose screen wobbles display cable damage",Hinge assembly failure,"Hinge assembly;Display cable;Frame screws",80,92,Senior
smartphone,Google,Pixel 7,"camera app crashes photos corrupted",Camera module failure,"Camera sensor;Image processor;Camera firmware",70,84,Intermediate
tablet,Samsung,Galaxy Tab A9,"wifi very slow pages timeout",WiFi antenna failure,"WiFi antenna;RF module;Network card",45,86,Intermediate
smartwatch,Garmin,Fenix 7,"GPS not tracking location lost",GPS module failure,"GPS antenna;Location chip;Satellite receiver",55,79,Senior
iot,Philips,Hue Bridge,"lights not responding app cant connect",Network failure,"Ethernet port;Network processor;Power adapter",25,93,Junior
laptop,Lenovo,Legion 5,"RGB keyboard lighting not working",Keyboard controller failure,"RGB controller;Keyboard firmware;Lighting board",35,90,Intermediate
smartphone,OnePlus,11,"fingerprint sensor not working cant unlock",Fingerprint reader failure,"Fingerprint sensor;Security chip;Display connector",60,83,Intermediate
smarttv,Vizio,P-Series,"screen turns on but no picture black screen",Backlight failure,"LED backlight strips;Power supply;T-CON board",85,77,Expert
headphones,Sennheiser,Momentum 4,"noise cancelling reversed ambient mode",ANC software failure,"ANC firmware;Audio DSP;Microphone array",40,88,Intermediate
iot,Ring,Video Doorbell,"motion detection false alerts night vision grainy",Camera sensor failure,"Camera sensor;IR LEDs;Motion detector",65,81,Intermediate
laptop,Asus,ZenBook,"touchpad not responding cursor stuck",Touchpad failure,"Touchpad controller;Clickpad;USB connection",30,95,Junior
smartphone,Xiaomi,13 Pro,"wireless charging not working slow charging",Wireless charging coil failure,"Wireless coil;Power management;Charging IC",50,87,Intermediate
tablet,Microsoft,Surface Go,"pen not writing pressure sensitivity lost",Digitizer failure,"Pen digitizer;Pressure sensor;Pen firmware",45,84,Intermediate
smartwatch,Apple,Watch Ultra,"cellular not working no calls texts",Cellular module failure,"Cellular antenna;eSIM module;Baseband processor",70,76,Expert
