device_type,brand,model,symptom_text,diagnosis,components,repair_time,success_rate,technician_level
laptop,Dell,XPS 15,charging port loose not connecting properly,USB failure,USB ports;Motherboard;USB controller,40,84.2,Intermediate
laptop,Dell,XPS 15,usb port physically damaged,USB failure,USB ports;Motherboard;USB controller,38,86.2,Intermediate
laptop,Dell,XPS 15,some usb ports work others don't,USB failure,USB ports;Motherboard;USB controller,46,87.4,Intermediate
laptop,Dell,XPS 15,camera not working,Camera failure,Webcam;Camera cable;Camera drivers,44,83.1,Intermediate
laptop,Dell,XPS 15,camera shows black screen,Camera failure,Webcam;Camera cable;Camera drivers,40,83.5,Intermediate
laptop,Dell,XPS 15,camera blurry won't focus,Camera failure,Webcam;Camera cable;Camera drivers,54,87.5,Intermediate
laptop,Dell,XPS 15,front camera works but rear camera doesn't,Camera failure,Webcam;Camera cable;Camera drivers,39,90.4,Intermediate
laptop,Dell,XPS 15,camera app crashes when opened,Camera failure,Webcam;Camera cable;Camera drivers,50,87.7,Intermediate
laptop,Dell,XPS 15,hard drive not detected,Storage failure,SSD;HDD;Storage controller;SATA cable,79,66.5,Advanced
laptop,Dell,XPS 15,storage full can't save anything,Storage failure,SSD;HDD;Storage controller;SATA cable,65,74.1,Advanced
laptop,Dell,XPS 15,ssd failed system won't boot,Storage failure,SSD;HDD;Storage controller;SATA cable,68,69.0,Advanced
laptop,Dell,XPS 15,corrupted storage data loss,Storage failure,SSD;HDD;Storage controller;SATA cable,72,72.5,Advanced
laptop,Dell,XPS 15,disk errors constant warnings,Storage failure,SSD;HDD;Storage controller;SATA cable,81,68.1,Advanced
laptop,Dell,XPS 15,dropped in water won't turn on,Water damage,Motherboard;Keyboard;Battery;Display,111,58.6,Expert
laptop,Dell,XPS 15,liquid damage corrosion visible,Water damage,Motherboard;Keyboard;Battery;Display,129,62.3,Expert
laptop,Dell,XPS 15,water indicator triggered device wet,Water damage,Motherboard;Keyboard;Battery;Display,126,57.8,Expert
laptop,Dell,XPS 15,coffee spilled on device not working,Water damage,Motherboard;Keyboard;Battery;Display,118,59.9,Expert
laptop,Dell,XPS 15,moisture inside screen foggy display,Water damage,Motherboard;Keyboard;Battery;Display,111,60.1,Expert
laptop,Dell,XPS 15,dropped device cracked case,Physical damage,Chassis;Hinges;Case;Frame,53,75.0,Intermediate
laptop,Dell,XPS 15,bent frame after sitting on it,Physical damage,Chassis;Hinges;Case;Frame,51,77.4,Intermediate
laptop,Dell,XPS 15,buttons physically broken,Physical damage,Chassis;Hinges;Case;Frame,61,77.6,Intermediate
laptop,Dell,XPS 15,housing cracked from impact,Physical damage,Chassis;Hinges;Case;Frame,58,76.2,Intermediate
laptop,Dell,XPS 15,device dented from fall,Physical damage,Chassis;Hinges;Case;Frame,64,76.6,Intermediate
laptop,Dell,XPS 15,device powers on but no display,Motherboard failure,Motherboard;CPU;GPU;Chipset,144,64.1,Expert
laptop,Dell,XPS 15,random shutdowns motherboard issue,Motherboard failure,Motherboard;CPU;GPU;Chipset,148,60.2,Expert
laptop,Dell,XPS 15,short circuit smell burning,Motherboard failure,Motherboard;CPU;GPU;Chipset,142,66.6,Expert
laptop,Dell,XPS 15,no boot beep codes,Motherboard failure,Motherboard;CPU;GPU;Chipset,152,60.1,Expert
laptop,Dell,XPS 15,device turns on for few seconds then dies,Motherboard failure,Motherboard;CPU;GPU;Chipset,143,62.3,Expert
laptop,HP,EliteBook 840,won't turn on no power black screen,Power supply failure,Power adapter;Battery;Motherboard;Power jack,56,85.5,Intermediate
laptop,HP,EliteBook 840,completely dead not responding to power button,Power supply failure,Power adapter;Battery;Motherboard;Power jack,54,91.0,Intermediate
laptop,HP,EliteBook 840,no lights no signs of life,Power supply failure,Power adapter;Battery;Motherboard;Power jack,63,93.2,Intermediate
laptop,HP,EliteBook 840,power button not working device dead,Power supply failure,Power adapter;Battery;Motherboard;Power jack,52,91.4,Intermediate
laptop,HP,EliteBook 840,tried charging overnight still won't turn on,Power supply failure,Power adapter;Battery;Motherboard;Power jack,58,88.4,Intermediate
laptop,HP,EliteBook 840,dead battery not charging,Battery failure,Battery;Charging port;Battery connector,35,96.5,Beginner
laptop,HP,EliteBook 840,battery drains very fast only lasts 30 minutes,Battery failure,Battery;Charging port;Battery connector,46,94.2,Beginner
laptop,HP,EliteBook 840,charging but percentage not increasing,Battery failure,Battery;Charging port;Battery connector,46,96.1,Beginner
laptop,HP,EliteBook 840,battery swollen device bulging,Battery failure,Battery;Charging port;Battery connector,46,93.8,Beginner
laptop,HP,EliteBook 840,shows charging but battery percentage drops,Battery failure,Battery;Charging port;Battery connector,38,96.6,Beginner
laptop,HP,EliteBook 840,screen cracked broken display,Screen damage,Display;LCD panel;Touch digitizer;Display cable,71,95.8,Advanced
laptop,HP,EliteBook 840,display shattered touch not working,Screen damage,Display;LCD panel;Touch digitizer;Display cable,79,94.0,Advanced
laptop,HP,EliteBook 840,black spots on screen after drop,Screen damage,Display;LCD panel;Touch digitizer;Display cable,76,96.8,Advanced
laptop,HP,EliteBook 840,screen flickering lines across display,Screen damage,Display;LCD panel;Touch digitizer;Display cable,81,97.4,Advanced
laptop,HP,EliteBook 840,half screen not working after fall,Screen damage,Display;LCD panel;Touch digitizer;Display cable,72,91.7,Advanced
laptop,HP,EliteBook 840,screen stays black but device is on,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,68,80.6,Intermediate
laptop,HP,EliteBook 840,display very dim can barely see anything,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,69,83.0,Intermediate
laptop,HP,EliteBook 840,screen flickers when moving lid,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,65,88.1,Intermediate
laptop,HP,EliteBook 840,vertical lines on display,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,52,88.4,Intermediate
laptop,HP,EliteBook 840,screen goes black randomly,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,67,87.2,Intermediate
laptop,HP,EliteBook 840,slow performance lag freezing,Software issue,RAM;SSD;Operating system;Drivers,85,81.8,Intermediate
laptop,HP,EliteBook 840,apps crash constantly won't stay open,Software issue,RAM;SSD;Operating system;Drivers,94,81.9,Intermediate
laptop,HP,EliteBook 840,system freezes need to force restart,Software issue,RAM;SSD;Operating system;Drivers,81,85.7,Intermediate
laptop,HP,EliteBook 840,very slow takes forever to open anything,Software issue,RAM;SSD;Operating system;Drivers,92,86.8,Intermediate
laptop,HP,EliteBook 840,keeps restarting on its own,Software issue,RAM;SSD;Operating system;Drivers,91,85.3,Intermediate
laptop,HP,EliteBook 840,overheating fan loud hot,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,56,84.9,Intermediate
laptop,HP,EliteBook 840,device gets extremely hot can't touch it,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,57,86.0,Intermediate
laptop,HP,EliteBook 840,fan running at full speed very noisy,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,60,88.2,Intermediate
laptop,HP,EliteBook 840,shuts down due to overheating,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,65,83.5,Intermediate
laptop,HP,EliteBook 840,bottom gets burning hot during use,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,70,89.3,Intermediate
laptop,HP,EliteBook 840,wifi not connecting no internet,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,31,93.5,Beginner
laptop,HP,EliteBook 840,bluetooth won't turn on greyed out,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,27,91.0,Beginner
laptop,HP,EliteBook 840,wifi keeps disconnecting every few minutes,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,36,91.8,Beginner
laptop,HP,EliteBook 840,can't find any wifi networks,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,33,96.2,Beginner
laptop,HP,EliteBook 840,network adapter not detected,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,25,96.0,Beginner
laptop,HP,EliteBook 840,keyboard not working some keys,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,54,89.7,Intermediate
laptop,HP,EliteBook 840,several keys don't respond when pressed,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,39,85.2,Intermediate
laptop,HP,EliteBook 840,keyboard types wrong characters,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,50,93.7,Intermediate
laptop,HP,EliteBook 840,spacebar and enter key not working,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,53,93.1,Intermediate
laptop,HP,EliteBook 840,liquid spilled on keyboard not working,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,55,93.0,Intermediate
laptop,HP,EliteBook 840,no sound speaker audio issue,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,31,84.5,Beginner
laptop,HP,EliteBook 840,speakers crackling distorted sound,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,21,84.5,Beginner
laptop,HP,EliteBook 840,microphone not working during calls,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,25,87.5,Beginner
laptop,HP,EliteBook 840,audio only works with headphones,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,26,86.7,Beginner
laptop,HP,EliteBook 840,one speaker not working,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,28,88.7,Beginner
laptop,HP,EliteBook 840,usb ports not working,USB failure,USB ports;Motherboard;USB controller,35,87.5,Intermediate
laptop,HP,EliteBook 840,usb devices not recognized,USB failure,USB ports;Motherboard;USB controller,44,83.1,Intermediate
laptop,HP,EliteBook 840,charging port loose not connecting properly,USB failure,USB ports;Motherboard;USB controller,47,91.9,Intermediate
laptop,HP,EliteBook 840,usb port physically damaged,USB failure,USB ports;Motherboard;USB controller,44,84.7,Intermediate
laptop,HP,EliteBook 840,some usb ports work others don't,USB failure,USB ports;Motherboard;USB controller,50,84.6,Intermediate
laptop,HP,EliteBook 840,camera not working,Camera failure,Webcam;Camera cable;Camera drivers,37,89.2,Intermediate
laptop,HP,EliteBook 840,camera shows black screen,Camera failure,Webcam;Camera cable;Camera drivers,48,87.2,Intermediate
laptop,HP,EliteBook 840,camera blurry won't focus,Camera failure,Webcam;Camera cable;Camera drivers,43,90.6,Intermediate
laptop,HP,EliteBook 840,front camera works but rear camera doesn't,Camera failure,Webcam;Camera cable;Camera drivers,36,83.0,Intermediate
laptop,HP,EliteBook 840,camera app crashes when opened,Camera failure,Webcam;Camera cable;Camera drivers,41,91.7,Intermediate
laptop,HP,EliteBook 840,hard drive not detected,Storage failure,SSD;HDD;Storage controller;SATA cable,67,70.5,Advanced
laptop,HP,EliteBook 840,storage full can't save anything,Storage failure,SSD;HDD;Storage controller;SATA cable,82,66.2,Advanced
laptop,HP,EliteBook 840,ssd failed system won't boot,Storage failure,SSD;HDD;Storage controller;SATA cable,78,68.7,Advanced
laptop,HP,EliteBook 840,corrupted storage data loss,Storage failure,SSD;HDD;Storage controller;SATA cable,65,65.9,Advanced
laptop,HP,EliteBook 840,disk errors constant warnings,Storage failure,SSD;HDD;Storage controller;SATA cable,85,72.8,Advanced
laptop,HP,EliteBook 840,dropped in water won't turn on,Water damage,Motherboard;Keyboard;Battery;Display,114,55.2,Expert
laptop,HP,EliteBook 840,liquid damage corrosion visible,Water damage,Motherboard;Keyboard;Battery;Display,120,61.8,Expert
laptop,HP,EliteBook 840,water indicator triggered device wet,Water damage,Motherboard;Keyboard;Battery;Display,115,59.4,Expert
laptop,HP,EliteBook 840,coffee spilled on device not working,Water damage,Motherboard;Keyboard;Battery;Display,114,57.4,Expert
laptop,HP,EliteBook 840,moisture inside screen foggy display,Water damage,Motherboard;Keyboard;Battery;Display,123,59.3,Expert
laptop,HP,EliteBook 840,dropped device cracked case,Physical damage,Chassis;Hinges;Case;Frame,52,82.9,Intermediate
laptop,HP,EliteBook 840,bent frame after sitting on it,Physical damage,Chassis;Hinges;Case;Frame,66,76.9,Intermediate
laptop,HP,EliteBook 840,buttons physically broken,Physical damage,Chassis;Hinges;Case;Frame,70,80.8,Intermediate
laptop,HP,EliteBook 840,housing cracked from impact,Physical damage,Chassis;Hinges;Case;Frame,59,78.7,Intermediate
laptop,HP,EliteBook 840,device dented from fall,Physical damage,Chassis;Hinges;Case;Frame,50,81.6,Intermediate
laptop,HP,EliteBook 840,device powers on but no display,Motherboard failure,Motherboard;CPU;GPU;Chipset,149,66.9,Expert
laptop,HP,EliteBook 840,random shutdowns motherboard issue,Motherboard failure,Motherboard;CPU;GPU;Chipset,160,61.3,Expert
laptop,HP,EliteBook 840,short circuit smell burning,Motherboard failure,Motherboard;CPU;GPU;Chipset,151,67.6,Expert
laptop,HP,EliteBook 840,no boot beep codes,Motherboard failure,Motherboard;CPU;GPU;Chipset,141,68.4,Expert
laptop,HP,EliteBook 840,device turns on for few seconds then dies,Motherboard failure,Motherboard;CPU;GPU;Chipset,149,61.6,Expert
laptop,Lenovo,ThinkPad T490,won't turn on no power black screen,Power supply failure,Power adapter;Battery;Motherboard;Power jack,54,85.3,Intermediate
laptop,Lenovo,ThinkPad T490,completely dead not responding to power button,Power supply failure,Power adapter;Battery;Motherboard;Power jack,68,90.9,Intermediate
laptop,Lenovo,ThinkPad T490,no lights no signs of life,Power supply failure,Power adapter;Battery;Motherboard;Power jack,60,89.0,Intermediate
laptop,Lenovo,ThinkPad T490,power button not working device dead,Power supply failure,Power adapter;Battery;Motherboard;Power jack,50,92.3,Intermediate
laptop,Lenovo,ThinkPad T490,tried charging overnight still won't turn on,Power supply failure,Power adapter;Battery;Motherboard;Power jack,50,94.0,Intermediate
laptop,Lenovo,ThinkPad T490,dead battery not charging,Battery failure,Battery;Charging port;Battery connector,48,90.4,Beginner
laptop,Lenovo,ThinkPad T490,battery drains very fast only lasts 30 minutes,Battery failure,Battery;Charging port;Battery connector,50,96.3,Beginner
laptop,Lenovo,ThinkPad T490,charging but percentage not increasing,Battery failure,Battery;Charging port;Battery connector,48,99.8,Beginner
laptop,Lenovo,ThinkPad T490,battery swollen device bulging,Battery failure,Battery;Charging port;Battery connector,52,95.7,Beginner
laptop,Lenovo,ThinkPad T490,shows charging but battery percentage drops,Battery failure,Battery;Charging port;Battery connector,48,96.1,Beginner
laptop,Lenovo,ThinkPad T490,screen cracked broken display,Screen damage,Display;LCD panel;Touch digitizer;Display cable,74,99.4,Advanced
laptop,Lenovo,ThinkPad T490,display shattered touch not working,Screen damage,Display;LCD panel;Touch digitizer;Display cable,85,93.7,Advanced
laptop,Lenovo,ThinkPad T490,black spots on screen after drop,Screen damage,Display;LCD panel;Touch digitizer;Display cable,85,96.8,Advanced
laptop,Lenovo,ThinkPad T490,screen flickering lines across display,Screen damage,Display;LCD panel;Touch digitizer;Display cable,66,90.5,Advanced
laptop,Lenovo,ThinkPad T490,half screen not working after fall,Screen damage,Display;LCD panel;Touch digitizer;Display cable,75,96.4,Advanced
laptop,Lenovo,ThinkPad T490,screen stays black but device is on,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,69,84.5,Intermediate
laptop,Lenovo,ThinkPad T490,display very dim can barely see anything,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,61,85.7,Intermediate
laptop,Lenovo,ThinkPad T490,screen flickers when moving lid,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,58,83.8,Intermediate
laptop,Lenovo,ThinkPad T490,vertical lines on display,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,60,83.6,Intermediate
laptop,Lenovo,ThinkPad T490,screen goes black randomly,Display malfunction,Display cable;LCD panel;Inverter board;Backlight,61,81.2,Intermediate
laptop,Lenovo,ThinkPad T490,slow performance lag freezing,Software issue,RAM;SSD;Operating system;Drivers,85,89.0,Intermediate
laptop,Lenovo,ThinkPad T490,apps crash constantly won't stay open,Software issue,RAM;SSD;Operating system;Drivers,87,83.1,Intermediate
laptop,Lenovo,ThinkPad T490,system freezes need to force restart,Software issue,RAM;SSD;Operating system;Drivers,82,82.9,Intermediate
laptop,Lenovo,ThinkPad T490,very slow takes forever to open anything,Software issue,RAM;SSD;Operating system;Drivers,99,87.0,Intermediate
laptop,Lenovo,ThinkPad T490,keeps restarting on its own,Software issue,RAM;SSD;Operating system;Drivers,92,89.6,Intermediate
laptop,Lenovo,ThinkPad T490,overheating fan loud hot,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,66,84.8,Intermediate
laptop,Lenovo,ThinkPad T490,device gets extremely hot can't touch it,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,60,89.1,Intermediate
laptop,Lenovo,ThinkPad T490,fan running at full speed very noisy,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,51,87.8,Intermediate
laptop,Lenovo,ThinkPad T490,shuts down due to overheating,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,63,87.2,Intermediate
laptop,Lenovo,ThinkPad T490,bottom gets burning hot during use,Cooling system failure,Fan;Heat sink;Thermal paste;Cooling system,50,91.6,Intermediate
laptop,Lenovo,ThinkPad T490,wifi not connecting no internet,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,38,91.0,Beginner
laptop,Lenovo,ThinkPad T490,bluetooth won't turn on greyed out,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,29,93.2,Beginner
laptop,Lenovo,ThinkPad T490,wifi keeps disconnecting every few minutes,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,36,91.3,Beginner
laptop,Lenovo,ThinkPad T490,can't find any wifi networks,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,26,91.1,Beginner
laptop,Lenovo,ThinkPad T490,network adapter not detected,Network failure,Wifi card;Network drivers;Antenna;Bluetooth module,27,95.1,Beginner
laptop,Lenovo,ThinkPad T490,keyboard not working some keys,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,35,90.2,Intermediate
laptop,Lenovo,ThinkPad T490,several keys don't respond when pressed,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,54,88.7,Intermediate
laptop,Lenovo,ThinkPad T490,keyboard types wrong characters,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,50,89.3,Intermediate
laptop,Lenovo,ThinkPad T490,spacebar and enter key not working,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,51,91.1,Intermediate
laptop,Lenovo,ThinkPad T490,liquid spilled on keyboard not working,Keyboard failure,Keyboard;Ribbon cable;Keyboard controller,38,87.2,Intermediate
laptop,Lenovo,ThinkPad T490,no sound speaker audio issue,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,34,87.0,Beginner
laptop,Lenovo,ThinkPad T490,speakers crackling distorted sound,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,32,88.6,Beginner
laptop,Lenovo,ThinkPad T490,microphone not working during calls,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,28,84.0,Beginner
laptop,Lenovo,ThinkPad T490,audio only works with headphones,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,21,87.2,Beginner
laptop,Lenovo,ThinkPad T490,one speaker not working,Audio failure,Speakers;Audio jack;Audio drivers;Sound card,40,83.1,Beginner
laptop,Lenovo,ThinkPad T490,usb ports not working,USB failure,USB ports;Motherboard;USB controller,47,86.4,Intermediate
laptop,Lenovo,ThinkPad T490,usb devices not recognized,USB failure,USB ports;Motherboard;USB controller,42,83.2,Intermediate
laptop,Lenovo,ThinkPad T490,charging port loose not connecting properly,USB failure,USB ports;Motherboard;USB controller,38,84.7,Intermediate
laptop,Lenovo,ThinkPad T490,usb port physically damaged,USB failure,USB ports;Motherboard;USB controller,46,83.2,Intermediate
laptop,Lenovo,ThinkPad T490,some usb ports work others don't,USB failure,USB ports;Motherboard;USB controller,45,82.8,Intermediate
laptop,Lenovo,ThinkPad T490,camera not working,Camera failure,Webcam;Camera cable;Camera drivers,36,89.1,Intermediate
laptop,Lenovo,ThinkPad T490,camera shows black screen,Camera failure,Webcam;Camera cable;Camera drivers,41,89.1,Intermediate
laptop,Lenovo,ThinkPad T490,camera blurry won't focus,Camera failure,Webcam;Camera cable;Camera drivers,38,82.2,Intermediate
laptop,Lenovo,ThinkPad T490,front camera works but rear camera doesn't,Camera failure,Webcam;Camera cable;Camera drivers,44,88.4,Intermediate
laptop,Lenovo,ThinkPad T490,camera app crashes when opened,Camera failure,Webcam;Camera cable;Camera drivers,40,86.8,Intermediate
laptop,Lenovo,ThinkPad T490,hard drive not detected,Storage failure,SSD;HDD;Storage controller;SATA cable,82,68.4,Advanced
laptop,Lenovo,ThinkPad T490,storage full can't save anything,Storage failure,SSD;HDD;Storage controller;SATA cable,83,68.1,Advanced
laptop,Lenovo,ThinkPad T490,ssd failed system won't boot,Storage failure,SSD;HDD;Storage controller;SATA cable,70,67.4,Advanced
laptop,Lenovo,ThinkPad T490,corrupted storage data loss,Storage failure,SSD;HDD;Storage controller;SATA cable,85,66.3,Advanced
laptop,Lenovo,ThinkPad T490,disk errors constant warnings,Storage failure,SSD;HDD;Storage controller;SATA cable,70,67.8,Advanced
laptop,Lenovo,ThinkPad T490,dropped in water won't turn on,Water damage,Motherboard;Keyboard;Battery;Display,130,56.5,Expert
laptop,Lenovo,ThinkPad T490,liquid damage corrosion visible,Water damage,Motherboard;Keyboard;Battery;Display,124,64.6,Expert
laptop,Lenovo,ThinkPad T490,water indicator triggered device wet,Water damage,Motherboard;Keyboard;Battery;Display,129,64.4,Expert
laptop,Lenovo,ThinkPad T490,coffee spilled on device not working,Water damage,Motherboard;Keyboard;Battery;Display,115,55.9,Expert
laptop,Lenovo,ThinkPad T490,moisture inside screen foggy display,Water damage,Motherboard;Keyboard;Battery;Display,111,56.1,Expert
laptop,Lenovo,ThinkPad T490,dropped device cracked case,Physical damage,Chassis;Hinges;Case;Frame,57,77.2,Intermediate
laptop,Lenovo,ThinkPad T490,bent frame after sitting on it,Physical damage,Chassis;Hinges;Case;Frame,57,83.7,Intermediate
